"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","760","login","Swag Labs Test Suite","Mon May 26 08:28:46 GMT 2025","passed","Mon May 26 08:28:47 GMT 2025","LoginTests","LoginTests","LoginTests","login"
"","1006","Verifying login validation","Swag Labs Test Suite","Mon May 26 08:29:02 GMT 2025","passed","Mon May 26 08:29:03 GMT 2025","LoginTests","LoginTests","LoginTests","loginValidation"
"","476","login","Swag Labs Test Suite","Mon May 26 08:28:48 GMT 2025","passed","Mon May 26 08:28:48 GMT 2025","LoginTests","LoginTests","LoginTests","login"
"","1053","Verifying login validation","Swag Labs Test Suite","Mon May 26 08:29:05 GMT 2025","passed","Mon May 26 08:29:06 GMT 2025","LoginTests","LoginTests","LoginTests","loginValidation"
"","942","checkoutWithOneProduct","Swag Labs Test Suite","Mon May 26 08:28:55 GMT 2025","passed","Mon May 26 08:28:56 GMT 2025","CheckoutTests","CheckoutTests","CheckoutTests","checkoutWithOneProduct"
"","1899","validationForLockedOutUser","Swag Labs Test Suite","Mon May 26 08:29:21 GMT 2025","failed","Mon May 26 08:29:22 GMT 2025","LoginTests","LoginTests","LoginTests","validationForLockedOutUser"
"","661","login","Swag Labs Test Suite","Mon May 26 08:28:49 GMT 2025","passed","Mon May 26 08:28:50 GMT 2025","LoginTests","LoginTests","LoginTests","login"
"","6183","logout","Swag Labs Test Suite","Mon May 26 08:29:14 GMT 2025","passed","Mon May 26 08:29:20 GMT 2025","LoginTests","LoginTests","LoginTests","logout"
"","1124","logout","Swag Labs Test Suite","Mon May 26 08:29:10 GMT 2025","passed","Mon May 26 08:29:11 GMT 2025","LoginTests","LoginTests","LoginTests","logout"
"","5514","login","Swag Labs Test Suite","Mon May 26 08:28:52 GMT 2025","passed","Mon May 26 08:28:58 GMT 2025","LoginTests","LoginTests","LoginTests","login"
"","1057","Verifying login validation","Swag Labs Test Suite","Mon May 26 08:28:58 GMT 2025","passed","Mon May 26 08:28:59 GMT 2025","LoginTests","LoginTests","LoginTests","loginValidation"
"","1019","Verifying login validation","Swag Labs Test Suite","Mon May 26 08:29:00 GMT 2025","passed","Mon May 26 08:29:01 GMT 2025","LoginTests","LoginTests","LoginTests","loginValidation"
"","1844","verifyCheckoutInfoValidation","Swag Labs Test Suite","Mon May 26 08:28:58 GMT 2025","passed","Mon May 26 08:28:59 GMT 2025","CheckoutTests","CheckoutTests","CheckoutTests","verifyCheckoutInfoValidation"
"","1573","addProductsToTheCart","Swag Labs Test Suite","Mon May 26 08:28:47 GMT 2025","passed","Mon May 26 08:28:49 GMT 2025","ProductTests","ProductTests","ProductTests","addProductsToTheCart"
"","1024","Verifying login validation","Swag Labs Test Suite","Mon May 26 08:29:03 GMT 2025","passed","Mon May 26 08:29:04 GMT 2025","LoginTests","LoginTests","LoginTests","loginValidation"
"","1334","cancelCheckout","Swag Labs Test Suite","Mon May 26 08:28:48 GMT 2025","passed","Mon May 26 08:28:49 GMT 2025","CheckoutTests","CheckoutTests","CheckoutTests","cancelCheckout"
"","1152","logout","Swag Labs Test Suite","Mon May 26 08:29:07 GMT 2025","passed","Mon May 26 08:29:08 GMT 2025","LoginTests","LoginTests","LoginTests","logout"
"","1127","logout","Swag Labs Test Suite","Mon May 26 08:29:12 GMT 2025","passed","Mon May 26 08:29:13 GMT 2025","LoginTests","LoginTests","LoginTests","logout"
"","434","sortProducts","Swag Labs Test Suite","Mon May 26 08:28:54 GMT 2025","passed","Mon May 26 08:28:55 GMT 2025","ProductTests","ProductTests","ProductTests","sortProducts"
"","1130","logout","Swag Labs Test Suite","Mon May 26 08:29:08 GMT 2025","passed","Mon May 26 08:29:10 GMT 2025","LoginTests","LoginTests","LoginTests","logout"
"","1482","checkoutWithMultipleProducts","Swag Labs Test Suite","Mon May 26 08:28:51 GMT 2025","passed","Mon May 26 08:28:53 GMT 2025","CheckoutTests","CheckoutTests","CheckoutTests","checkoutWithMultipleProducts"
"","471","login","Swag Labs Test Suite","Mon May 26 08:28:51 GMT 2025","passed","Mon May 26 08:28:51 GMT 2025","LoginTests","LoginTests","LoginTests","login"
"","2579","deleteProductsFromTheCart","Swag Labs Test Suite","Mon May 26 08:28:50 GMT 2025","passed","Mon May 26 08:28:53 GMT 2025","ProductTests","ProductTests","ProductTests","deleteProductsFromTheCart"
