"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","1489","checkoutWithMultipleProducts","Swag Labs Test Suite","Tue May 27 02:39:47 GMT 2025","passed","Tue May 27 02:39:48 GMT 2025","CheckoutTests","CheckoutTests","CheckoutTests","checkoutWithMultipleProducts"
"","523","sortProducts","Swag Labs Test Suite","Tue May 27 02:39:50 GMT 2025","passed","Tue May 27 02:39:50 GMT 2025","ProductTests","ProductTests","ProductTests","sortProducts"
"","462","login","Swag Labs Test Suite","Tue May 27 02:39:46 GMT 2025","passed","Tue May 27 02:39:47 GMT 2025","LoginTests","LoginTests","LoginTests","login"
"","2539","deleteProductsFromTheCart","Swag Labs Test Suite","Tue May 27 02:39:46 GMT 2025","passed","Tue May 27 02:39:48 GMT 2025","ProductTests","ProductTests","ProductTests","deleteProductsFromTheCart"
"","1025","Verifying login validation","Swag Labs Test Suite","Tue May 27 02:39:59 GMT 2025","passed","Tue May 27 02:40:00 GMT 2025","LoginTests","LoginTests","LoginTests","loginValidation"
"","1052","Verifying login validation","Swag Labs Test Suite","Tue May 27 02:40:01 GMT 2025","passed","Tue May 27 02:40:02 GMT 2025","LoginTests","LoginTests","LoginTests","loginValidation"
"","1664","addProductsToTheCart","Swag Labs Test Suite","Tue May 27 02:39:42 GMT 2025","passed","Tue May 27 02:39:44 GMT 2025","ProductTests","ProductTests","ProductTests","addProductsToTheCart"
"","1128","logout","Swag Labs Test Suite","Tue May 27 02:40:06 GMT 2025","passed","Tue May 27 02:40:07 GMT 2025","LoginTests","LoginTests","LoginTests","logout"
"","680","login","Swag Labs Test Suite","Tue May 27 02:39:45 GMT 2025","passed","Tue May 27 02:39:45 GMT 2025","LoginTests","LoginTests","LoginTests","login"
"","1975","verifyCheckoutInfoValidation","Swag Labs Test Suite","Tue May 27 02:39:53 GMT 2025","passed","Tue May 27 02:39:55 GMT 2025","CheckoutTests","CheckoutTests","CheckoutTests","verifyCheckoutInfoValidation"
"","947","checkoutWithOneProduct","Swag Labs Test Suite","Tue May 27 02:39:51 GMT 2025","passed","Tue May 27 02:39:52 GMT 2025","CheckoutTests","CheckoutTests","CheckoutTests","checkoutWithOneProduct"
"","1049","Verifying login validation","Swag Labs Test Suite","Tue May 27 02:39:54 GMT 2025","passed","Tue May 27 02:39:55 GMT 2025","LoginTests","LoginTests","LoginTests","loginValidation"
"","1151","logout","Swag Labs Test Suite","Tue May 27 02:40:07 GMT 2025","passed","Tue May 27 02:40:09 GMT 2025","LoginTests","LoginTests","LoginTests","logout"
"","501","login","Swag Labs Test Suite","Tue May 27 02:39:43 GMT 2025","passed","Tue May 27 02:39:44 GMT 2025","LoginTests","LoginTests","LoginTests","login"
"","1938","validationForLockedOutUser","Swag Labs Test Suite","Tue May 27 02:40:16 GMT 2025","failed","Tue May 27 02:40:18 GMT 2025","LoginTests","LoginTests","LoginTests","validationForLockedOutUser"
"","1139","logout","Swag Labs Test Suite","Tue May 27 02:40:04 GMT 2025","passed","Tue May 27 02:40:05 GMT 2025","LoginTests","LoginTests","LoginTests","logout"
"","1291","cancelCheckout","Swag Labs Test Suite","Tue May 27 02:39:43 GMT 2025","passed","Tue May 27 02:39:44 GMT 2025","CheckoutTests","CheckoutTests","CheckoutTests","cancelCheckout"
"","1025","Verifying login validation","Swag Labs Test Suite","Tue May 27 02:39:57 GMT 2025","passed","Tue May 27 02:39:58 GMT 2025","LoginTests","LoginTests","LoginTests","loginValidation"
"","5458","login","Swag Labs Test Suite","Tue May 27 02:39:48 GMT 2025","passed","Tue May 27 02:39:53 GMT 2025","LoginTests","LoginTests","LoginTests","login"
"","6194","logout","Swag Labs Test Suite","Tue May 27 02:40:09 GMT 2025","passed","Tue May 27 02:40:15 GMT 2025","LoginTests","LoginTests","LoginTests","logout"
"","945","login","Swag Labs Test Suite","Tue May 27 02:39:41 GMT 2025","passed","Tue May 27 02:39:42 GMT 2025","LoginTests","LoginTests","LoginTests","login"
"","1016","Verifying login validation","Swag Labs Test Suite","Tue May 27 02:39:56 GMT 2025","passed","Tue May 27 02:39:57 GMT 2025","LoginTests","LoginTests","LoginTests","loginValidation"
"","1150","logout","Swag Labs Test Suite","Tue May 27 02:40:02 GMT 2025","passed","Tue May 27 02:40:03 GMT 2025","LoginTests","LoginTests","LoginTests","logout"
