"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","1009","login","Swag Labs Test Suite","Wed May 28 02:42:04 GMT 2025","passed","Wed May 28 02:42:05 GMT 2025","LoginTests","LoginTests","LoginTests","login"
"","1370","cancelCheckout","Swag Labs Test Suite","Wed May 28 02:42:06 GMT 2025","passed","Wed May 28 02:42:07 GMT 2025","CheckoutTests","CheckoutTests","CheckoutTests","cancelCheckout"
"","1134","logout","Swag Labs Test Suite","Wed May 28 02:42:29 GMT 2025","passed","Wed May 28 02:42:30 GMT 2025","LoginTests","LoginTests","LoginTests","logout"
"","484","login","Swag Labs Test Suite","Wed May 28 02:42:09 GMT 2025","passed","Wed May 28 02:42:10 GMT 2025","LoginTests","LoginTests","LoginTests","login"
"","1123","logout","Swag Labs Test Suite","Wed May 28 02:42:31 GMT 2025","passed","Wed May 28 02:42:32 GMT 2025","LoginTests","LoginTests","LoginTests","logout"
"","6149","logout","Swag Labs Test Suite","Wed May 28 02:42:33 GMT 2025","passed","Wed May 28 02:42:39 GMT 2025","LoginTests","LoginTests","LoginTests","logout"
"","1036","Verifying login validation","Swag Labs Test Suite","Wed May 28 02:42:20 GMT 2025","passed","Wed May 28 02:42:21 GMT 2025","LoginTests","LoginTests","LoginTests","loginValidation"
"","2525","deleteProductsFromTheCart","Swag Labs Test Suite","Wed May 28 02:42:09 GMT 2025","passed","Wed May 28 02:42:11 GMT 2025","ProductTests","ProductTests","ProductTests","deleteProductsFromTheCart"
"","1079","Verifying login validation","Swag Labs Test Suite","Wed May 28 02:42:17 GMT 2025","passed","Wed May 28 02:42:18 GMT 2025","LoginTests","LoginTests","LoginTests","loginValidation"
"","5504","login","Swag Labs Test Suite","Wed May 28 02:42:11 GMT 2025","passed","Wed May 28 02:42:16 GMT 2025","LoginTests","LoginTests","LoginTests","login"
"","1885","validationForLockedOutUser","Swag Labs Test Suite","Wed May 28 02:42:39 GMT 2025","failed","Wed May 28 02:42:41 GMT 2025","LoginTests","LoginTests","LoginTests","validationForLockedOutUser"
"","1066","Verifying login validation","Swag Labs Test Suite","Wed May 28 02:42:24 GMT 2025","passed","Wed May 28 02:42:25 GMT 2025","LoginTests","LoginTests","LoginTests","loginValidation"
"","678","login","Swag Labs Test Suite","Wed May 28 02:42:08 GMT 2025","passed","Wed May 28 02:42:08 GMT 2025","LoginTests","LoginTests","LoginTests","login"
"","532","sortProducts","Swag Labs Test Suite","Wed May 28 02:42:13 GMT 2025","passed","Wed May 28 02:42:14 GMT 2025","ProductTests","ProductTests","ProductTests","sortProducts"
"","1042","Verifying login validation","Swag Labs Test Suite","Wed May 28 02:42:19 GMT 2025","passed","Wed May 28 02:42:20 GMT 2025","LoginTests","LoginTests","LoginTests","loginValidation"
"","1050","Verifying login validation","Swag Labs Test Suite","Wed May 28 02:42:22 GMT 2025","passed","Wed May 28 02:42:23 GMT 2025","LoginTests","LoginTests","LoginTests","loginValidation"
"","1646","addProductsToTheCart","Swag Labs Test Suite","Wed May 28 02:42:05 GMT 2025","passed","Wed May 28 02:42:07 GMT 2025","ProductTests","ProductTests","ProductTests","addProductsToTheCart"
"","473","login","Swag Labs Test Suite","Wed May 28 02:42:06 GMT 2025","passed","Wed May 28 02:42:07 GMT 2025","LoginTests","LoginTests","LoginTests","login"
"","998","checkoutWithOneProduct","Swag Labs Test Suite","Wed May 28 02:42:13 GMT 2025","passed","Wed May 28 02:42:14 GMT 2025","CheckoutTests","CheckoutTests","CheckoutTests","checkoutWithOneProduct"
"","1141","logout","Swag Labs Test Suite","Wed May 28 02:42:26 GMT 2025","passed","Wed May 28 02:42:27 GMT 2025","LoginTests","LoginTests","LoginTests","logout"
"","2070","verifyCheckoutInfoValidation","Swag Labs Test Suite","Wed May 28 02:42:16 GMT 2025","passed","Wed May 28 02:42:18 GMT 2025","CheckoutTests","CheckoutTests","CheckoutTests","verifyCheckoutInfoValidation"
"","1141","logout","Swag Labs Test Suite","Wed May 28 02:42:27 GMT 2025","passed","Wed May 28 02:42:29 GMT 2025","LoginTests","LoginTests","LoginTests","logout"
"","1478","checkoutWithMultipleProducts","Swag Labs Test Suite","Wed May 28 02:42:10 GMT 2025","passed","Wed May 28 02:42:11 GMT 2025","CheckoutTests","CheckoutTests","CheckoutTests","checkoutWithMultipleProducts"
