"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","620","login","Swag Labs Test Suite","Thu May 29 02:41:58 GMT 2025","passed","Thu May 29 02:41:59 GMT 2025","LoginTests","LoginTests","LoginTests","login"
"","2535","deleteProductsFromTheCart","Swag Labs Test Suite","Thu May 29 02:41:59 GMT 2025","passed","Thu May 29 02:42:01 GMT 2025","ProductTests","ProductTests","ProductTests","deleteProductsFromTheCart"
"","1055","Verifying login validation","Swag Labs Test Suite","Thu May 29 02:42:12 GMT 2025","passed","Thu May 29 02:42:13 GMT 2025","LoginTests","LoginTests","LoginTests","loginValidation"
"","492","login","Swag Labs Test Suite","Thu May 29 02:41:56 GMT 2025","passed","Thu May 29 02:41:57 GMT 2025","LoginTests","LoginTests","LoginTests","login"
"","1044","login","Swag Labs Test Suite","Thu May 29 02:41:54 GMT 2025","passed","Thu May 29 02:41:55 GMT 2025","LoginTests","LoginTests","LoginTests","login"
"","543","login","Swag Labs Test Suite","Thu May 29 02:41:59 GMT 2025","passed","Thu May 29 02:42:00 GMT 2025","LoginTests","LoginTests","LoginTests","login"
"","5541","login","Swag Labs Test Suite","Thu May 29 02:42:01 GMT 2025","passed","Thu May 29 02:42:06 GMT 2025","LoginTests","LoginTests","LoginTests","login"
"","2012","verifyCheckoutInfoValidation","Swag Labs Test Suite","Thu May 29 02:42:06 GMT 2025","passed","Thu May 29 02:42:08 GMT 2025","CheckoutTests","CheckoutTests","CheckoutTests","verifyCheckoutInfoValidation"
"","1886","validationForLockedOutUser","Swag Labs Test Suite","Thu May 29 02:42:30 GMT 2025","failed","Thu May 29 02:42:32 GMT 2025","LoginTests","LoginTests","LoginTests","validationForLockedOutUser"
"","1437","checkoutWithMultipleProducts","Swag Labs Test Suite","Thu May 29 02:42:00 GMT 2025","passed","Thu May 29 02:42:01 GMT 2025","CheckoutTests","CheckoutTests","CheckoutTests","checkoutWithMultipleProducts"
"","1135","logout","Swag Labs Test Suite","Thu May 29 02:42:16 GMT 2025","passed","Thu May 29 02:42:17 GMT 2025","LoginTests","LoginTests","LoginTests","logout"
"","1962","addProductsToTheCart","Swag Labs Test Suite","Thu May 29 02:41:55 GMT 2025","passed","Thu May 29 02:41:57 GMT 2025","ProductTests","ProductTests","ProductTests","addProductsToTheCart"
"","525","sortProducts","Swag Labs Test Suite","Thu May 29 02:42:03 GMT 2025","passed","Thu May 29 02:42:03 GMT 2025","ProductTests","ProductTests","ProductTests","sortProducts"
"","1000","checkoutWithOneProduct","Swag Labs Test Suite","Thu May 29 02:42:03 GMT 2025","passed","Thu May 29 02:42:04 GMT 2025","CheckoutTests","CheckoutTests","CheckoutTests","checkoutWithOneProduct"
"","1119","logout","Swag Labs Test Suite","Thu May 29 02:42:19 GMT 2025","passed","Thu May 29 02:42:21 GMT 2025","LoginTests","LoginTests","LoginTests","logout"
"","1151","logout","Swag Labs Test Suite","Thu May 29 02:42:21 GMT 2025","passed","Thu May 29 02:42:22 GMT 2025","LoginTests","LoginTests","LoginTests","logout"
"","1101","Verifying login validation","Swag Labs Test Suite","Thu May 29 02:42:14 GMT 2025","passed","Thu May 29 02:42:15 GMT 2025","LoginTests","LoginTests","LoginTests","loginValidation"
"","1051","Verifying login validation","Swag Labs Test Suite","Thu May 29 02:42:11 GMT 2025","passed","Thu May 29 02:42:12 GMT 2025","LoginTests","LoginTests","LoginTests","loginValidation"
"","1137","logout","Swag Labs Test Suite","Thu May 29 02:42:18 GMT 2025","passed","Thu May 29 02:42:19 GMT 2025","LoginTests","LoginTests","LoginTests","logout"
"","6173","logout","Swag Labs Test Suite","Thu May 29 02:42:23 GMT 2025","passed","Thu May 29 02:42:29 GMT 2025","LoginTests","LoginTests","LoginTests","logout"
"","1053","Verifying login validation","Swag Labs Test Suite","Thu May 29 02:42:09 GMT 2025","passed","Thu May 29 02:42:10 GMT 2025","LoginTests","LoginTests","LoginTests","loginValidation"
"","1104","Verifying login validation","Swag Labs Test Suite","Thu May 29 02:42:07 GMT 2025","passed","Thu May 29 02:42:08 GMT 2025","LoginTests","LoginTests","LoginTests","loginValidation"
"","1450","cancelCheckout","Swag Labs Test Suite","Thu May 29 02:41:56 GMT 2025","passed","Thu May 29 02:41:57 GMT 2025","CheckoutTests","CheckoutTests","CheckoutTests","cancelCheckout"
