"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","445","sortProducts","Swag Labs Test Suite","Fri May 23 14:48:00 GMT 2025","passed","Fri May 23 14:48:01 GMT 2025","ProductTests","ProductTests","ProductTests","sortProducts"
"","1145","logout","Swag Labs Test Suite","Fri May 23 14:48:12 GMT 2025","passed","Fri May 23 14:48:14 GMT 2025","LoginTests","LoginTests","LoginTests","logout"
"","1880","validationForLockedOutUser","Swag Labs Test Suite","Fri May 23 14:48:26 GMT 2025","failed","Fri May 23 14:48:28 GMT 2025","LoginTests","LoginTests","LoginTests","validationForLockedOutUser"
"","1142","logout","Swag Labs Test Suite","Fri May 23 14:48:14 GMT 2025","passed","Fri May 23 14:48:15 GMT 2025","LoginTests","LoginTests","LoginTests","logout"
"","6142","logout","Swag Labs Test Suite","Fri May 23 14:48:20 GMT 2025","passed","Fri May 23 14:48:26 GMT 2025","LoginTests","LoginTests","LoginTests","logout"
"","539","login","Swag Labs Test Suite","Fri May 23 14:47:53 GMT 2025","passed","Fri May 23 14:47:54 GMT 2025","LoginTests","LoginTests","LoginTests","login"
"","5491","login","Swag Labs Test Suite","Fri May 23 14:47:58 GMT 2025","passed","Fri May 23 14:48:03 GMT 2025","LoginTests","LoginTests","LoginTests","login"
"","952","checkoutWithOneProduct","Swag Labs Test Suite","Fri May 23 14:48:01 GMT 2025","passed","Fri May 23 14:48:02 GMT 2025","CheckoutTests","CheckoutTests","CheckoutTests","checkoutWithOneProduct"
"","2016","verifyCheckoutInfoValidation","Swag Labs Test Suite","Fri May 23 14:48:04 GMT 2025","passed","Fri May 23 14:48:06 GMT 2025","CheckoutTests","CheckoutTests","CheckoutTests","verifyCheckoutInfoValidation"
"","1048","Verifying login validation","Swag Labs Test Suite","Fri May 23 14:48:04 GMT 2025","passed","Fri May 23 14:48:05 GMT 2025","LoginTests","LoginTests","LoginTests","loginValidation"
"","1446","checkoutWithMultipleProducts","Swag Labs Test Suite","Fri May 23 14:47:57 GMT 2025","passed","Fri May 23 14:47:58 GMT 2025","CheckoutTests","CheckoutTests","CheckoutTests","checkoutWithMultipleProducts"
"","1012","Verifying login validation","Swag Labs Test Suite","Fri May 23 14:48:09 GMT 2025","passed","Fri May 23 14:48:10 GMT 2025","LoginTests","LoginTests","LoginTests","loginValidation"
"","1422","cancelCheckout","Swag Labs Test Suite","Fri May 23 14:47:53 GMT 2025","passed","Fri May 23 14:47:55 GMT 2025","CheckoutTests","CheckoutTests","CheckoutTests","cancelCheckout"
"","2458","deleteProductsFromTheCart","Swag Labs Test Suite","Fri May 23 14:47:56 GMT 2025","passed","Fri May 23 14:47:59 GMT 2025","ProductTests","ProductTests","ProductTests","deleteProductsFromTheCart"
"","1023","Verifying login validation","Swag Labs Test Suite","Fri May 23 14:48:06 GMT 2025","passed","Fri May 23 14:48:07 GMT 2025","LoginTests","LoginTests","LoginTests","loginValidation"
"","1127","logout","Swag Labs Test Suite","Fri May 23 14:48:16 GMT 2025","passed","Fri May 23 14:48:17 GMT 2025","LoginTests","LoginTests","LoginTests","logout"
"","1202","login","Swag Labs Test Suite","Fri May 23 14:47:51 GMT 2025","passed","Fri May 23 14:47:52 GMT 2025","LoginTests","LoginTests","LoginTests","login"
"","1128","logout","Swag Labs Test Suite","Fri May 23 14:48:18 GMT 2025","passed","Fri May 23 14:48:19 GMT 2025","LoginTests","LoginTests","LoginTests","logout"
"","728","login","Swag Labs Test Suite","Fri May 23 14:47:55 GMT 2025","passed","Fri May 23 14:47:56 GMT 2025","LoginTests","LoginTests","LoginTests","login"
"","1066","Verifying login validation","Swag Labs Test Suite","Fri May 23 14:48:11 GMT 2025","passed","Fri May 23 14:48:12 GMT 2025","LoginTests","LoginTests","LoginTests","loginValidation"
"","995","Verifying login validation","Swag Labs Test Suite","Fri May 23 14:48:07 GMT 2025","passed","Fri May 23 14:48:08 GMT 2025","LoginTests","LoginTests","LoginTests","loginValidation"
"","1980","addProductsToTheCart","Swag Labs Test Suite","Fri May 23 14:47:52 GMT 2025","passed","Fri May 23 14:47:54 GMT 2025","ProductTests","ProductTests","ProductTests","addProductsToTheCart"
"","486","login","Swag Labs Test Suite","Fri May 23 14:47:56 GMT 2025","passed","Fri May 23 14:47:57 GMT 2025","LoginTests","LoginTests","LoginTests","login"
